;cuerpo;fecha;seccion;titulo
322;El Banco Nación ofreció la divisa a $36,90, es decir, sin cambios entre el jueves y viernes. ;16/11/2018;economía;El dólar operó estable tras la baja de tasas del Banco Central
323;El sábado 24 de noviembre se enfrentarán por la revancha de la Superfinal de la Copa Libertadores.;16/11/2018;deportes;El desubicado mensaje de Blas Giunta de cara al histórico Boca-River
324;En cuatro años, el régimen comunista causó cerca de dos millones de muertos.;16/11/2018;internacional;"En un fallo histórico, Camboya condenó por ""genocidio"" a dos líderes del Jemer Rojo"
325;El macabro crimen conmocionó a España. Mientras asesinaba a su familia, se lo contaba por WhatsApp a un amigo en Brasil. ;16/11/2018;internacional;Descuartizó a dos primitos y a sus tíos, confesó el crimen y su actitud desconcertó al jurado
326;La justicia lo condenó ahora a seis años de prisión efectiva por la reincidencia. Su primera víctima tenía 17 años.;16/11/2018;policiales;Córdoba: un preso por violación salió en libertad condicional y abusó de otro chico
327;Su antiguo colaborador ya declaró unas ocho horas, habló de todo y explicó el funcionamiento del Cartel de Sinaloa.;16/11/2018;internacional;"Los detalles de la leyenda de el Chapo Guzmán que está contando ""El Rey"" en el juicio"
328;El bebé de Marley tiene nueva mascota y ya son mejores amigos. ;16/11/2018;show;Imposible no sonreír con este video: el tierno juego de Mirko y Bailey
329;El Ministerio de Hacienda dispuso que empiecen a cobrarlo desde el 12 de diciembre.;16/11/2018;economía;El Gobierno anticipa el bono y el aguinaldo para los estatales
330;Fue 28-13 para Les Bleus en Lille. El sábado que viene chocarán con Escocia.;17/11/2018;deportes;Los Pumas cayeron ante Francia y suman dos derrotas en su gira europea
331;El Presidente expresó su dolor por los 44 submarinistas que perdieron la vida hace un año en el mar argentino. Decretó duelo nacional por tres días.;17/11/2018;política;"Mauricio Macri, sobre el hallazgo del ARA San Juan: ""Se abre una etapa de investigación, siempre estuvimos comprometidos con la verdad"""
332;El ministro Aguad reconoció que la fuerza no tiene la capacidad para hacerlo, pero los familiares quieren que hagan el intento. La ubicación, el peso y la atmósfera, los factores claves.;17/11/2018;sociedad;Una tarea sin precedentes: ¿se puede rescatar del mar el ARA San Juan?
333;La Pulga y su mujer salieron a divertirse durante sus minivacaciones en los Emiratos Árabes.;17/11/2018;deportes;Lionel Messi y Antonela Roccuzzo, solos en la noche de Dubai
334;Luis Tagliapietra, padre de una de las víctimas, envió un mensaje desde el Seabed Constructor, el barco que ubicó al navío.;17/11/2018;sociedad;"""Los teníamos que encontrar y los encontramos"", el video de uno de los familiares de los tripulantes del ARA San Juan"
335;Los chicos se acercaron a la Base Naval en Mar del Plata y les regalaron una camiseta.;17/11/2018;sociedad;Tras la aparición del ARA San Juan, un equipo de fútbol infantil abrazó a los familiares
336;Este sábado se realizó una nueva edición en la Argentina. El acto central fue en el Congreso.;17/11/2018;sociedad;Miles de personas celebraron la Marcha del Orgullo LGBTIQ en Buenos Aires
337;"La exparticipante del reality saludable se comprometió con su salud y hoy parece otra persona. ""Reconozco ser lo que siempre soñé"", expresó.";17/11/2018;show;"Jenni, de ""Cuestión de peso"", cumplió 8 años de mantenimiento y mostró su impactante figura"
338;Jorge Bergallo, padre de uno de los tripulantes y excomandante del ARA San Juan, reveló que le anunciaron la llegada de un nuevo miembro a la familia poco después de que encontraran el submarino.;17/11/2018;sociedad;La vida después de la tragedia: un familiar se enteró de que iba a ser abuelo tras el hallazgo del ARA San Juan
339;Para turistas y también para porteños. Recorrer la ciudad, sus espectáculos y sus propuestas gastronómicas, smartphone en mano.   ;17/11/2018;tecno;Conocé estas apps para aprovechar el fin de semana largo en Buenos Aires
